student_id,student_name,class_name,chapter,pre_test_score,post_test_score,total_questions,wrong_answers,core_mistakes,avg_time_minutes,practice_sessions,completed_practice,practice_consistency
S001,Andi Pratama,7A,Aljabar,62,76,40,11,3,72.4,5,2,40.0
S002,Siti Aisyah,7A,Aljabar,22,32,40,28,8,61.6,6,6,100.0
S003,Raka Saputra,7A,Aljabar,78,98,40,0,0,49.2,6,4,66.7
S004,Budi Santoso,7A,Aljabar,78,91,40,4,2,29.3,5,5,100.0
S005,Lina Maharani,7A,Aljabar,46,84,40,2,1,57.6,4,3,75.0
S006,Dewi Lestari,7A,Aljabar,38,52,40,18,11,61.7,6,3,50.0
S007,Fajar Nugroho,7A,Aljabar,47,81,40,8,2,34.1,4,3,75.0
S008,Nadia Putri,7A,Aljabar,66,84,40,6,2,45.0,4,3,75.0
S009,Rizky Ramadhan,7A,Aljabar,62,79,40,5,2,56.2,7,3,42.9
S010,Maya Sari,7A,Aljabar,64,90,40,6,2,57.7,4,2,50.0
S011,Dimas Aditya,7A,Aljabar,60,87,40,4,1,44.2,7,6,85.7
S012,Aulia Rahma,7A,Aljabar,68,87,40,3,2,44.4,3,2,66.7
S013,Farhan Hakim,7A,Aljabar,42,47,40,21,7,53.5,3,2,66.7
S014,Citra Ananda,7A,Aljabar,69,85,40,5,3,29.6,6,6,100.0
S015,Bagas Wijaya,7A,Aljabar,80,98,40,1,0,53.9,7,6,85.7
S016,Intan Permata,7A,Aljabar,46,68,40,13,7,67.9,6,3,50.0
S017,Yoga Febriansyah,7A,Aljabar,50,71,40,9,3,39.7,5,3,60.0
S018,Nabila Zahra,7A,Aljabar,48,60,40,17,6,58.7,3,2,66.7
S019,Arif Hidayat,7A,Aljabar,54,69,40,14,7,44.7,7,4,57.1
S020,Putri Amanda,7A,Aljabar,56,66,40,12,4,55.2,3,2,66.7
S021,Rian Maulana,7A,Aljabar,60,98,40,5,2,24.2,5,3,60.0
S022,Salma Nuraini,7A,Aljabar,66,74,40,11,5,53.8,3,1,33.3
S023,Gilang Ramadhan,7A,Aljabar,85,98,40,0,0,52.3,4,3,75.0
S024,Tasya Kirana,7A,Aljabar,65,66,40,15,6,47.5,4,4,100.0
S025,Ilham Fauzi,7A,Aljabar,73,98,40,1,1,25.8,6,3,50.0
S026,Vina Oktavia,7A,Aljabar,55,75,40,10,6,59.0,3,2,66.7
S027,Reza Kurniawan,7A,Aljabar,68,89,40,4,2,59.2,6,2,33.3
S028,Anisa Fitri,7A,Aljabar,59,66,40,17,9,66.4,3,1,33.3
S029,Hendra Saputra,7A,Aljabar,54,65,40,13,7,43.0,5,4,80.0
S030,Dinda Aprilia,7A,Aljabar,41,58,40,14,5,48.1,8,8,100.0
S031,Kevin Alfarizi,7A,Aljabar,69,84,40,3,2,35.1,3,1,33.3
S032,Nurul Azizah,7A,Aljabar,39,66,40,14,4,55.8,6,4,66.7
